"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Rondônia; 4 ; 4 ; 8 ; 2 ; 4 ; 6 ; 5 ; 7 ; 6 ; 10 ; 12 ; 11 ; 12 ; 19 ; 14 ; 49 ; 43 ; 70 ; 84 ; 39 ; 84 ; 157 ; 190 ; 138 ; 156 ; 62 ; 103 
Acre; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 2 ; 2 ; 2 ; 3 ; 4 ; 3 ; 12 ; 10 ; 16 ; 16 ; 6 ; 18 ; 30 ; 47 ; 31 ; 33 ; 10 ; 16 
Amazonas; 0 ; 0 ; 1 ; 0 ; 0 ; 1 ; 2 ; 2 ; 2 ; 3 ; 4 ; 4 ; 5 ; 7 ; 4 ; 18 ; 15 ; 22 ; 25 ; 11 ; 23 ; 40 ; 56 ; 40 ; 36 ; 11 ; 16 
Roraima; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 2 ; 3 ; 2 ; 6 ; 5 ; 7 ; 9 ; 3 ; 6 ; 12 ; 17 ; 16 ; 17 ; 6 ; 10 
Pará; 6 ; 6 ; 13 ; 4 ; 6 ; 11 ; 14 ; 19 ; 18 ; 27 ; 34 ; 30 ; 34 ; 53 ; 37 ; 119 ; 98 ; 160 ; 170 ; 77 ; 146 ; 235 ; 329 ; 284 ; 341 ; 145 ; 242 
Amapá; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 2 ; 2 ; 3 ; 3 ; 2 ; 4 ; 6 ; 8 ; 8 ; 12 ; 3 ; 6 
Tocantins; 143 ; 107 ; 72 ; 262 ; 29 ; 16 ; 146 ; 40 ; 43 ; 39 ; 69 ; 17 ; 172 ; 166 ; 389 ; 263 ; 199 ; 190 ; 243 ; 233 ; 195 ; 301 ; 539 ; 696 ; 649 ; 597 ; 696 
Maranhão; 98 ; 106 ; 83 ; 68 ; 193 ; 88 ; 138 ; 111 ; 138 ; 108 ; 188 ; 197 ; 175 ; 250 ; 249 ; 50 ; 105 ; 124 ; 13 ; 13 ; 174 ; 24 ; 23 ; 302 ; 276 ; 229 ; 222 
Piauí; 10 ; 10 ; 18 ; 4 ; 7 ; 13 ; 9 ; 13 ; 11 ; 16 ; 22 ; 22 ; 27 ; 40 ; 29 ; 104 ; 92 ; 156 ; 179 ; 87 ; 179 ; 321 ; 458 ; 381 ; 435 ; 156 ; 256 
Ceará; 16 ; 16 ; 27 ; 7 ; 13 ; 18 ; 17 ; 23 ; 20 ; 32 ; 43 ; 39 ; 52 ; 77 ; 49 ; 146 ; 136 ; 233 ; 279 ; 127 ; 221 ; 432 ; 492 ; 279 ; 356 ; 120 ; 190 
