"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Rondônia; 2.289 ; 1.826 ; 1.609 ; 1.699 ; 1.885 ; 2.131 ; 2.379 ; 2.382 ; 2.478 ; 3.064 ; 3.494 ; 3.000 ; 2.459 ; 2.815 ; 2.643 ; 2.926 ; 3.185 ; 2.811 ; 2.745 ; 3.692 ; 3.630 ; 3.017 ; 3.137 ; 3.112 ; 3.399 ; 3.225 ; 3.250 
Acre; 447 ; 545 ; 591 ; 693 ; 724 ; 856 ; 1.013 ; 1.138 ; 973 ; 1.312 ; 1.347 ; 1.480 ; 1.500 ; 1.448 ; 1.045 ; 981 ; 850 ; 722 ; 672 ; 661 ; 774 ; 780 ; 1.103 ; 815 ; 880 ; 866 ; 861 
Amazonas; 4.857 ; 5.735 ; 6.522 ; 5.962 ; 6.623 ; 8.871 ; 8.214 ; 9.586 ; 11.209 ; 12.287 ; 10.812 ; 9.915 ; 11.529 ; 9.347 ; 10.480 ; 11.713 ; 12.357 ; 13.908 ; 13.036 ; 13.421 ; 14.824 ; 15.473 ; 16.514 ; 16.735 ; 17.043 ; 15.950 ; 14.130 
Roraima; 439 ; 695 ; 602 ; 642 ; 695 ; 769 ; 901 ; 900 ; 787 ; 1.151 ; 763 ; 419 ; 350 ; 338 ; 328 ; 297 ; 348 ; 350 ; 381 ; 428 ; 804 ; 475 ; 506 ; 585 ; 739 ; 734 ; 692 
Pará; 3.614 ; 3.881 ; 3.830 ; 4.245 ; 4.475 ; 4.122 ; 4.044 ; 5.108 ; 5.896 ; 6.590 ; 7.468 ; 8.717 ; 7.438 ; 8.633 ; 9.062 ; 9.181 ; 10.380 ; 11.073 ; 10.753 ; 10.830 ; 13.019 ; 13.785 ; 14.891 ; 15.138 ; 16.147 ; 16.185 ; 15.584 
Amapá; 208 ; 243 ; 366 ; 558 ; 584 ; 427 ; 293 ; 725 ; 687 ; 901 ; 878 ; 741 ; 783 ; 1.081 ; 1.306 ; 1.329 ; 1.012 ; 1.356 ; 1.234 ; 1.589 ; 1.545 ; 1.590 ; 1.717 ; 1.737 ; 1.807 ; 1.109 ; 636 
Tocantins; 796 ; 766 ; 871 ; 906 ; 905 ; 911 ; 1.133 ; 1.337 ; 1.387 ; 1.273 ; 1.248 ; 1.218 ; 1.338 ; 1.355 ; 1.489 ; 1.508 ; 1.609 ; 1.824 ; 1.981 ; 1.923 ; 2.301 ; 2.439 ; 2.745 ; 2.986 ; 3.200 ; 3.072 ; 2.991 
Maranhão; 2.145 ; 2.254 ; 2.536 ; 3.477 ; 3.354 ; 2.515 ; 2.686 ; 2.654 ; 2.941 ; 2.923 ; 3.061 ; 2.969 ; 3.250 ; 3.215 ; 3.352 ; 3.494 ; 3.635 ; 4.109 ; 4.501 ; 4.118 ; 5.835 ; 6.924 ; 7.693 ; 9.449 ; 17.515 ; 16.364 ; 16.886 
Piauí; 714 ; 749 ; 772 ; 759 ; 757 ; 820 ; 963 ; 993 ; 1.017 ; 1.119 ; 1.185 ; 1.410 ; 1.221 ; 1.207 ; 1.373 ; 1.353 ; 1.377 ; 1.491 ; 1.714 ; 1.755 ; 2.043 ; 2.106 ; 2.508 ; 2.678 ; 2.931 ; 2.727 ; 2.598 
Ceará; 2.128 ; 2.350 ; 2.452 ; 2.588 ; 2.694 ; 3.041 ; 3.430 ; 3.764 ; 3.958 ; 3.909 ; 3.882 ; 4.040 ; 4.075 ; 3.806 ; 4.094 ; 4.337 ; 4.352 ; 4.357 ; 4.722 ; 5.084 ; 6.753 ; 6.811 ; 7.873 ; 9.785 ; 10.106 ; 9.704 ; 8.642 
Rio Grande do Norte; 2.156 ; 2.090 ; 2.191 ; 2.412 ; 2.647 ; 2.877 ; 3.083 ; 3.303 ; 3.559 ; 3.635 ; 3.717 ; 3.876 ; 3.921 ; 3.870 ; 4.154 ; 4.420 ; 4.376 ; 4.321 ; 4.067 ; 4.025 ; 3.958 ; 4.144 ; 4.423 ; 4.599 ; 4.876 ; 4.432 ; 3.943 
Paraíba; 1.121 ; 1.331 ; 1.388 ; 1.437 ; 1.496 ; 1.664 ; 1.877 ; 1.913 ; 2.096 ; 1.987 ; 1.798 ; 1.787 ; 1.991 ; 1.896 ; 2.076 ; 2.008 ; 2.120 ; 2.275 ; 2.365 ; 2.397 ; 2.796 ; 3.085 ; 3.905 ; 4.657 ; 5.978 ; 5.944 ; 4.379 
Pernambuco; 3.932 ; 4.028 ; 4.393 ; 3.830 ; 3.915 ; 4.386 ; 4.976 ; 5.385 ; 5.587 ; 6.003 ; 5.975 ; 6.277 ; 6.672 ; 5.984 ; 6.323 ; 7.615 ; 6.168 ; 6.085 ; 6.673 ; 6.898 ; 9.372 ; 12.879 ; 11.393 ; 14.012 ; 16.365 ; 16.565 ; 15.558 
Alagoas; 1.571 ; 1.541 ; 1.633 ; 1.902 ; 2.303 ; 2.277 ; 2.315 ; 2.418 ; 2.530 ; 2.506 ; 2.690 ; 2.884 ; 3.081 ; 3.029 ; 3.293 ; 3.476 ; 3.411 ; 3.401 ; 3.164 ; 3.094 ; 3.097 ; 3.212 ; 3.431 ; 3.587 ; 3.596 ; 3.340 ; 3.372 
Sergipe; 1.404 ; 1.392 ; 1.550 ; 1.569 ; 1.647 ; 1.765 ; 2.032 ; 2.223 ; 2.459 ; 2.301 ; 2.281 ; 2.284 ; 2.253 ; 2.237 ; 2.362 ; 2.486 ; 3.480 ; 3.849 ; 4.407 ; 4.244 ; 3.314 ; 3.452 ; 3.491 ; 3.559 ; 3.650 ; 3.165 ; 3.089 
Bahia; 11.463 ; 11.434 ; 12.367 ; 12.005 ; 11.848 ; 12.288 ; 13.883 ; 14.485 ; 15.262 ; 15.221 ; 14.818 ; 16.404 ; 15.701 ; 15.695 ; 17.575 ; 18.195 ; 19.159 ; 20.782 ; 22.521 ; 21.335 ; 21.959 ; 22.822 ; 24.577 ; 27.741 ; 27.681 ; 24.119 ; 21.878 
Minas Gerais; 17.972 ; 19.894 ; 18.592 ; 19.141 ; 19.338 ; 22.093 ; 23.775 ; 25.888 ; 25.692 ; 25.947 ; 26.309 ; 26.447 ; 25.832 ; 24.724 ; 26.713 ; 27.953 ; 29.250 ; 30.418 ; 31.633 ; 29.143 ; 34.140 ; 34.863 ; 37.055 ; 39.057 ; 40.370 ; 35.672 ; 34.504 
Espírito Santo; 4.234 ; 4.414 ; 4.454 ; 4.605 ; 5.309 ; 5.427 ; 5.166 ; 5.434 ; 5.718 ; 5.947 ; 7.773 ; 7.416 ; 7.430 ; 7.585 ; 6.358 ; 7.067 ; 8.208 ; 8.976 ; 11.523 ; 8.506 ; 12.117 ; 15.354 ; 15.341 ; 16.753 ; 18.049 ; 16.467 ; 14.222 
Rio de Janeiro; 25.235 ; 23.202 ; 23.247 ; 24.448 ; 26.336 ; 28.995 ; 32.670 ; 34.317 ; 32.588 ; 34.149 ; 36.809 ; 39.974 ; 40.255 ; 38.620 ; 40.464 ; 44.646 ; 46.602 ; 48.599 ; 57.644 ; 54.792 ; 53.941 ; 49.516 ; 57.842 ; 65.915 ; 72.607 ; 68.600 ; 60.868 
São Paulo; 49.941 ; 50.155 ; 51.725 ; 52.372 ; 54.005 ; 58.194 ; 63.265 ; 67.371 ; 67.258 ; 71.219 ; 72.838 ; 75.224 ; 72.421 ; 69.758 ; 72.642 ; 68.810 ; 69.951 ; 72.930 ; 74.877 ; 71.932 ; 79.322 ; 85.389 ; 91.180 ; 93.823 ; 92.432 ; 87.761 ; 84.592 
Paraná; 10.582 ; 11.353 ; 11.871 ; 12.059 ; 13.876 ; 14.643 ; 16.648 ; 16.914 ; 18.894 ; 17.160 ; 16.455 ; 16.402 ; 15.974 ; 16.008 ; 17.270 ; 18.981 ; 16.965 ; 17.948 ; 18.249 ; 17.557 ; 19.620 ; 20.379 ; 23.392 ; 24.467 ; 25.436 ; 23.996 ; 23.329 
Santa Catarina; 5.146 ; 5.564 ; 5.824 ; 6.562 ; 6.567 ; 7.282 ; 7.748 ; 8.216 ; 8.815 ; 9.464 ; 9.743 ; 9.626 ; 9.832 ; 9.748 ; 10.462 ; 10.551 ; 10.814 ; 11.142 ; 11.478 ; 11.539 ; 12.963 ; 13.702 ; 14.205 ; 14.685 ; 14.751 ; 14.059 ; 14.314 
Rio Grande do Sul; 11.576 ; 11.451 ; 12.139 ; 12.096 ; 11.907 ; 12.473 ; 12.948 ; 13.638 ; 14.143 ; 14.781 ; 15.326 ; 15.676 ; 15.737 ; 15.315 ; 16.068 ; 15.720 ; 16.027 ; 15.487 ; 16.328 ; 15.799 ; 17.455 ; 18.436 ; 19.093 ; 20.221 ; 20.272 ; 22.691 ; 19.574 
Mato Grosso do Sul; 3.044 ; 3.231 ; 3.288 ; 3.350 ; 3.393 ; 3.660 ; 3.726 ; 3.900 ; 3.940 ; 4.018 ; 4.027 ; 4.192 ; 4.421 ; 4.388 ; 4.531 ; 4.825 ; 4.312 ; 3.801 ; 3.993 ; 3.954 ; 5.649 ; 5.272 ; 6.919 ; 8.726 ; 9.897 ; 9.773 ; 7.292 
Mato Grosso; 3.995 ; 4.073 ; 4.338 ; 4.579 ; 5.152 ; 5.662 ; 5.327 ; 5.459 ; 5.793 ; 6.103 ; 6.378 ; 6.020 ; 6.533 ; 6.806 ; 7.480 ; 6.699 ; 6.150 ; 6.528 ; 6.226 ; 6.057 ; 6.542 ; 7.049 ; 8.186 ; 8.730 ; 8.903 ; 8.494 ; 8.086 
Goiás; 4.071 ; 4.338 ; 4.790 ; 5.239 ; 5.428 ; 6.019 ; 6.588 ; 6.824 ; 7.552 ; 7.892 ; 8.170 ; 8.005 ; 8.038 ; 7.975 ; 8.531 ; 8.806 ; 8.440 ; 9.092 ; 9.746 ; 9.054 ; 11.445 ; 11.914 ; 13.660 ; 14.543 ; 15.758 ; 13.981 ; 12.089 
Distrito Federal; 1.965 ; 2.026 ; 2.122 ; 2.215 ; 2.265 ; 2.442 ; 2.732 ; 3.060 ; 3.253 ; 2.868 ; 2.928 ; 3.058 ; 3.116 ; 2.957 ; 3.025 ; 2.973 ; 2.929 ; 2.999 ; 3.068 ; 3.200 ; 3.684 ; 3.957 ; 4.113 ; 4.250 ; 4.519 ; 4.400 ; 4.331 
Brasil; 177.046 ; 180.564 ; 186.066 ; 191.351 ; 200.128 ; 216.613 ; 233.816 ; 249.335 ; 256.470 ; 265.728 ; 272.173 ; 279.460 ; 277.150 ; 269.839 ; 284.503 ; 292.351 ; 297.469 ; 310.634 ; 329.701 ; 317.026 ; 352.903 ; 368.824 ; 400.894 ; 432.346 ; 458.908 ; 433.397 ; 401.690 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
