"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Rondônia; 28 ; 28 ; 26 ; 32 ; 30 ; 33 ; 36 ; 32 ; 29 ; 31 ; 36 ; 35 ; 35 ; 38 ; 41 ; 41 ; 41 ; 43 ; 46 ; 82 ; 261 ; 309 ; 318 ; 273 ; 263 ; 270 ; 247 
Acre; 5 ; 5 ; 5 ; 6 ; 5 ; 6 ; 6 ; 6 ; 6 ; 6 ; 7 ; 7 ; 7 ; 7 ; 8 ; 8 ; 8 ; 8 ; 9 ; 8 ; 11 ; 12 ; 12 ; 13 ; 13 ; 13 ; 13 
Amazonas; 276 ; 287 ; 248 ; 272 ; 264 ; 300 ; 350 ; 362 ; 370 ; 378 ; 386 ; 370 ; 355 ; 342 ; 353 ; 356 ; 356 ; 382 ; 417 ; 364 ; 421 ; 478 ; 473 ; 491 ; 437 ; 447 ; 418 
Roraima; 4 ; 4 ; 4 ; 5 ; 4 ; 5 ; 5 ; 5 ; 4 ; 5 ; 5 ; 5 ; 5 ; 6 ; 6 ; 6 ; 6 ; 7 ; 7 ; 6 ; 8 ; 10 ; 10 ; 11 ; 10 ; 10 ; 10 
Pará; 651 ; 812 ; 851 ; 901 ; 892 ; 928 ; 983 ; 979 ; 1.016 ; 1.049 ; 1.084 ; 1.015 ; 1.128 ; 1.179 ; 1.203 ; 1.258 ; 1.308 ; 1.373 ; 1.576 ; 1.696 ; 1.917 ; 1.988 ; 2.110 ; 2.170 ; 2.032 ; 2.093 ; 2.115 
Amapá; 5 ; 4 ; 4 ; 5 ; 5 ; 5 ; 6 ; 5 ; 5 ; 5 ; 6 ; 6 ; 6 ; 7 ; 7 ; 7 ; 7 ; 8 ; 8 ; 7 ; 10 ; 11 ; 11 ; 12 ; 12 ; 12 ; 12 
Tocantins; 19 ; 18 ; 17 ; 21 ; 20 ; 22 ; 24 ; 22 ; 21 ; 21 ; 24 ; 24 ; 24 ; 26 ; 28 ; 28 ; 29 ; 30 ; 33 ; 78 ; 207 ; 228 ; 245 ; 236 ; 233 ; 238 ; 217 
Maranhão; 582 ; 713 ; 694 ; 694 ; 692 ; 714 ; 744 ; 751 ; 756 ; 769 ; 775 ; 699 ; 773 ; 715 ; 783 ; 794 ; 882 ; 908 ; 928 ; 892 ; 920 ; 959 ; 1.065 ; 1.007 ; 663 ; 446 ; 363 
Piauí; 113 ; 118 ; 101 ; 108 ; 106 ; 120 ; 141 ; 151 ; 156 ; 160 ; 160 ; 152 ; 148 ; 139 ; 142 ; 191 ; 166 ; 194 ; 228 ; 257 ; 276 ; 272 ; 290 ; 301 ; 304 ; 294 ; 269 
Ceará; 632 ; 671 ; 596 ; 627 ; 619 ; 699 ; 790 ; 840 ; 902 ; 899 ; 922 ; 890 ; 876 ; 866 ; 881 ; 924 ; 932 ; 1.070 ; 1.082 ; 1.047 ; 1.102 ; 1.168 ; 1.238 ; 1.269 ; 1.277 ; 1.245 ; 2.680 
