"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Rondônia; 110.101 ; 81.030 ; 105.276 ; 115.524 ; 114.434 ; 280.020 ; 127.348 ; 98.827 ; 99.237 ; 124.350 ; 125.260 ; 146.163 ; 167.165 ; 228.103 ; 249.936 ; 197.409 ; 139.219 ; 102.933 ; 65.297 ; 11.130 ; 7.189 ; 37.296 ; 31.632 ; 42.132 ; 25.187 ; 50.293 ; 75.359 
Acre; 33.467 ; 22.469 ; 29.547 ; 32.620 ; 32.084 ; 83.033 ; 22.812 ; 17.486 ; 30.155 ; 23.619 ; 30.105 ; 21.406 ; 55.271 ; 75.743 ; 47.015 ; 33.123 ; 34.760 ; 7.826 ; 16.521 ; 4.910 ; 15.255 ; 8.783 ; 11.153 ; 4.034 ; 11.383 ; 7.983 ; 17.213 
Amazonas; 33.412 ; 16.408 ; 17.528 ; 2.232 ;-2.377 ; 68.717 ;-5.088 ;-32.744 ;-29.699 ;-44.665 ;-56.810 ;-54.170 ;-50.420 ; 51.974 ; 12.228 ;-41.437 ;-30.532 ;-57.667 ;-58.855 ;-93.012 ;-77.705 ;-105.561 ;-104.592 ;-100.444 ;-106.531 ;-90.984 ;-59.334 
Roraima; 4.702 ; 2.804 ;-6.634 ;-5.919 ;-6.002 ; 4.898 ; 3.989 ; 1.223 ; 4.591 ; 1.314 ; 890 ; 11.457 ;-15.469 ; 59.756 ; 35.993 ; 214 ;-4.959 ;-2.489 ; 13.665 ;-14.118 ;-6.505 ;-11.161 ;-12.408 ;-8.766 ;-4.703 ;-9.662 ;-5.746 
Pará; 213.284 ; 157.406 ; 195.300 ; 213.574 ; 205.886 ; 547.885 ; 401.476 ; 245.529 ; 370.936 ; 319.005 ; 424.663 ; 330.790 ; 499.844 ; 659.691 ; 856.761 ; 503.122 ; 376.577 ; 332.622 ; 341.590 ; 209.329 ; 162.613 ; 120.202 ; 14.256 ; 64.659 ; 26.370 ; 50.461 ; 121.470 
Amapá;-713 ;-2.049 ;-3.526 ;-3.438 ;-3.444 ;-917 ;-5.756 ; 3.458 ; 8.140 ;-8.048 ;-7.925 ;-4.027 ;-7.983 ;-2.450 ; 4.324 ;-354 ;-6.704 ;-7.672 ;-3.569 ;-5.495 ;-6.606 ;-8.356 ;-12.089 ;-12.225 ;-11.297 ;-12.116 ;-12.911 
Tocantins; 37.102 ; 32.307 ; 37.436 ; 39.004 ; 38.705 ; 73.069 ; 42.911 ; 40.237 ; 56.933 ; 33.484 ; 34.665 ; 31.580 ; 31.547 ; 69.345 ; 70.025 ; 81.249 ; 50.836 ; 30.549 ; 37.975 ; 30.441 ; 28.432 ; 20.155 ; 21.456 ; 41.969 ; 30.094 ; 43.934 ; 19.030 
Maranhão; 82.950 ; 70.304 ; 80.000 ; 84.042 ; 83.410 ; 168.777 ; 114.770 ; 65.528 ; 110.235 ; 129.852 ; 113.844 ; 109.154 ; 116.646 ; 164.303 ; 135.377 ; 142.083 ; 91.096 ; 102.634 ; 161.046 ; 87.393 ; 75.743 ; 76.983 ; 62.328 ; 82.051 ; 71.788 ; 60.346 ; 54.156 
Piauí; 9.052 ; 9.023 ; 9.182 ; 9.126 ; 9.058 ; 12.404 ; 12.403 ; 11.984 ; 11.956 ; 11.447 ; 11.372 ; 11.449 ; 11.347 ; 17.106 ; 17.119 ; 15.146 ; 15.146 ; 11.551 ; 11.551 ; 14.531 ; 12.534 ; 16.622 ; 16.622 ; 22.321 ; 19.841 ; 14.287 ; 12.864 
Ceará; 4.452 ; 4.427 ; 4.493 ; 4.472 ; 4.445 ; 5.990 ; 5.993 ; 5.892 ; 5.794 ; 5.791 ; 5.790 ; 5.789 ; 5.780 ; 10.468 ; 10.467 ; 11.225 ; 11.225 ; 10.454 ; 10.472 ; 6.466 ; 3.571 ; 3.412 ; 3.411 ; 3.201 ; 2.914 ; 3.118 ; 3.738 
Rio Grande do Norte; 1.278 ; 1.266 ; 1.285 ; 1.278 ; 1.270 ; 1.860 ; 1.799 ; 1.799 ; 1.799 ; 1.799 ; 1.788 ; 1.599 ; 1.599 ; 2.253 ; 2.252 ; 2.409 ; 2.420 ; 2.267 ; 2.267 ; 1.007 ; 311 ; 827 ; 829 ; 1.156 ; 713 ; 819 ; 900 
Paraíba; 1.540 ; 1.532 ; 1.548 ; 1.536 ; 1.527 ; 2.173 ; 2.126 ; 2.126 ; 2.126 ; 2.126 ; 2.126 ; 1.980 ; 1.980 ; 1.687 ; 1.687 ; 1.799 ; 1.812 ; 1.699 ; 1.698 ; 714 ; 1.400 ; 893 ; 895 ; 841 ; 800 ; 849 ; 1.086 
Pernambuco; 2.621 ; 2.615 ; 2.652 ; 2.639 ; 2.623 ; 4.261 ; 3.961 ; 3.957 ; 3.901 ; 3.898 ; 3.890 ; 2.962 ; 2.959 ; 2.624 ; 2.624 ; 2.797 ; 2.843 ; 2.673 ; 2.666 ; 865 ; 305 ; 1.312 ; 1.506 ; 1.493 ; 1.188 ; 1.368 ; 1.405 
Alagoas; 545 ; 543 ; 551 ; 546 ; 543 ; 1.085 ; 943 ; 943 ; 898 ; 898 ; 898 ; 458 ; 458 ; 1.849 ; 1.849 ; 1.970 ; 2.007 ; 1.890 ; 1.859 ; 800 ; 301 ; 177 ; 825 ; 236 ; 213 ; 163 ; 219 
Sergipe; 493 ; 492 ; 499 ; 495 ; 492 ; 835 ; 764 ; 764 ; 764 ; 764 ; 764 ; 545 ; 545 ; 1.212 ; 1.212 ; 1.271 ; 1.329 ; 1.271 ; 1.268 ; 459 ; 531 ; 61 ; 914 ; 206 ; 37 ; 386 ; 172 
Bahia; 16.115 ; 15.876 ; 15.863 ; 15.742 ; 15.095 ; 18.274 ; 19.596 ; 18.674 ; 16.940 ; 16.432 ; 13.586 ; 32.424 ; 32.260 ; 51.790 ; 51.526 ; 38.499 ; 43.416 ; 44.107 ; 44.710 ; 21.825 ; 5.460 ; 21.564 ; 24.160 ; 25.400 ; 17.106 ; 19.549 ; 13.661 
Minas Gerais; 19.406 ; 19.288 ; 19.677 ; 19.608 ; 19.423 ; 32.643 ; 26.284 ; 32.406 ; 27.358 ; 31.723 ; 32.269 ; 19.745 ; 19.690 ; 59.901 ; 64.915 ; 25.371 ; 29.431 ; 19.196 ; 18.561 ;-5.283 ;-5.670 ; 15.810 ; 19.385 ; 28.428 ; 26.398 ; 8.774 ;-12.026 
Espírito Santo; 873 ; 271 ; 62 ; 283 ;-580 ; 1.884 ; 562 ;-10 ; 477 ; 49 ;-821 ;-3.125 ;-3.697 ;-3.479 ;-3.609 ;-3.871 ;-3.839 ;-3.413 ;-3.933 ;-4.069 ;-4.065 ; 226 ;-2.085 ;-2.536 ;-2.849 ;-981 ;-6 
Rio de Janeiro; 2.621 ; 2.616 ; 2.606 ; 2.644 ; 2.619 ; 7.511 ;-153 ;-173 ;-172 ;-171 ;-171 ;-332 ;-375 ;-69 ;-79 ;-152 ; 645 ; 687 ; 632 ;-151 ;-137 ;-147 ; 148 ;-312 ;-181 ;-180 ;-247 
