"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Rondônia; 11 ; 12 ; 11 ; 12 ; 13 ; 14 ; 15 ; 16 ; 17 ; 17 ; 14 ; 19 ; 20 ; 21 ; 12 ; 61 ; 19 ; 15 ; 19 ; 18 ; 23 ; 19 ; 16 ; 22 ; 12 ; 11 ; 4 
Acre; 1 ; 2 ; 2 ; 2 ; 2 ; 3 ; 3 ; 3 ; 3 ; 4 ; 6 ; 4 ; 4 ; 2 ; 3 ; 4 ; 5 ; 11 ; 6 ; 7 ; 6 ; 11 ; 10 ; 7 ; 8 ; 6 ; 2 
Amazonas; 9 ; 28 ; 19 ; 22 ; 25 ; 29 ; 32 ; 35 ; 39 ; 43 ; 39 ; 40 ; 43 ; 66 ; 46 ; 49 ; 55 ; 86 ; 51 ; 41 ; 80 ; 61 ; 33 ; 44 ; 33 ; 26 ; 12 
Roraima; 2 ; 3 ; 3 ; 3 ; 3 ; 4 ; 3 ; 3 ; 4 ; 4 ; 2 ; 7 ; 7 ; 9 ; 9 ; 12 ; 12 ; 9 ; 9 ; 11 ; 17 ; 8 ; 4 ; 8 ; 4 ; 4 ; 2 
Pará; 10 ; 26 ; 11 ; 21 ; 25 ; 29 ; 36 ; 40 ; 46 ; 52 ; 79 ; 54 ; 61 ; 36 ; 36 ; 70 ; 62 ; 61 ; 107 ; 95 ; 99 ; 146 ; 118 ; 119 ; 94 ; 69 ; 37 
Amapá; 2 ; 2 ; 2 ; 2 ; 3 ; 3 ; 3 ; 3 ; 3 ; 3 ; 4 ; 3 ; 3 ; 2 ; 2 ; 4 ; 2 ; 1 ; 1 ; 1 ; 3 ; 3 ; 2 ; 2 ; 2 ; 2 ; 1 
Tocantins; 4 ; 5 ; 5 ; 6 ; 7 ; 7 ; 8 ; 9 ; 10 ; 11 ; 12 ; 13 ; 14 ; 53 ; 9 ; 12 ; 11 ; 15 ; 8 ; 22 ; 27 ; 12 ; 12 ; 17 ; 12 ; 9 ; 4 
Maranhão; 27 ; 23 ; 32 ; 24 ; 30 ; 35 ; 45 ; 52 ; 63 ; 97 ; 60 ; 94 ; 108 ; 85 ; 129 ; 111 ; 118 ; 115 ; 311 ; 134 ; 63 ; 73 ; 188 ; 150 ; 177 ; 206 ; 67 
Piauí; 7 ; 5 ; 7 ; 6 ; 7 ; 8 ; 12 ; 14 ; 18 ; 28 ; 32 ; 29 ; 33 ; 25 ; 19 ; 43 ; 31 ; 64 ; 37 ; 62 ; 78 ; 79 ; 89 ; 75 ; 84 ; 72 ; 33 
Ceará; 13 ; 14 ; 19 ; 15 ; 19 ; 22 ; 26 ; 30 ; 36 ; 56 ; 42 ; 58 ; 67 ; 72 ; 26 ; 80 ; 62 ; 105 ; 107 ; 113 ; 100 ; 108 ; 92 ; 142 ; 166 ; 137 ; 72 
Rio Grande do Norte; 5 ; 9 ; 9 ; 7 ; 8 ; 9 ; 9 ; 10 ; 12 ; 17 ; 18 ; 20 ; 24 ; 36 ; 26 ; 32 ; 34 ; 30 ; 34 ; 34 ; 23 ; 25 ; 20 ; 32 ; 38 ; 28 ; 11 
