"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Rondônia; 112.432 ; 82.900 ; 106.930 ; 117.269 ; 116.366 ; 282.205 ; 129.783 ; 101.264 ; 101.767 ; 127.471 ; 128.817 ; 149.229 ; 169.690 ; 230.996 ; 252.646 ; 200.486 ; 142.506 ; 105.873 ; 68.190 ; 14.962 ; 11.187 ; 40.798 ; 35.293 ; 45.678 ; 29.017 ; 53.860 ; 78.963 
Acre; 33.921 ; 23.022 ; 30.147 ; 33.322 ; 32.817 ; 83.900 ; 23.834 ; 18.634 ; 31.138 ; 24.943 ; 31.467 ; 22.899 ; 56.785 ; 77.205 ; 48.074 ; 34.128 ; 35.632 ; 8.583 ; 17.225 ; 5.591 ; 16.063 ; 9.616 ; 12.325 ; 4.901 ; 12.318 ; 8.878 ; 18.105 
Amazonas; 38.554 ; 22.459 ; 24.319 ; 8.488 ; 4.536 ; 77.918 ; 3.509 ;-22.758 ;-18.080 ;-31.953 ;-45.568 ;-43.842 ;-38.488 ; 61.736 ; 23.111 ;-29.301 ;-17.748 ;-43.268 ;-45.326 ;-79.175 ;-62.357 ;-89.509 ;-87.517 ;-83.134 ;-88.983 ;-74.551 ;-44.758 
Roraima; 5.147 ; 3.505 ;-6.025 ;-5.269 ;-5.299 ; 5.676 ; 4.899 ; 2.132 ; 5.386 ; 2.475 ; 1.662 ; 11.889 ;-15.105 ; 60.112 ; 36.339 ; 535 ;-4.587 ;-2.116 ; 14.071 ;-13.669 ;-5.669 ;-10.655 ;-11.871 ;-8.147 ;-3.932 ;-8.907 ;-5.032 
Pará; 217.565 ; 162.131 ; 200.006 ; 218.745 ; 211.283 ; 552.975 ; 406.553 ; 251.675 ; 377.911 ; 326.723 ; 433.327 ; 340.606 ; 508.506 ; 669.592 ; 867.099 ; 513.751 ; 388.426 ; 345.289 ; 354.196 ; 222.028 ; 177.794 ; 136.356 ; 31.703 ; 82.370 ; 44.984 ; 68.953 ; 139.448 
Amapá;-498 ;-1.799 ;-3.154 ;-2.872 ;-2.852 ;-482 ;-5.454 ; 4.192 ; 8.836 ;-7.138 ;-7.037 ;-3.277 ;-7.191 ;-1.360 ; 5.639 ; 987 ;-5.681 ;-6.305 ;-2.323 ;-3.896 ;-5.044 ;-6.745 ;-10.351 ;-10.465 ;-9.463 ;-10.989 ;-12.256 
Tocantins; 38.064 ; 33.203 ; 38.401 ; 40.199 ; 39.665 ; 74.025 ; 44.222 ; 41.646 ; 58.394 ; 34.828 ; 36.019 ; 32.851 ; 33.094 ; 70.945 ; 71.939 ; 83.060 ; 52.684 ; 32.609 ; 40.239 ; 32.697 ; 31.162 ; 23.135 ; 24.997 ; 45.903 ; 34.187 ; 47.850 ; 22.938 
Maranhão; 85.803 ; 73.401 ; 83.346 ; 88.306 ; 87.679 ; 172.128 ; 118.382 ; 69.095 ; 114.132 ; 133.749 ; 117.928 ; 113.113 ; 120.951 ; 168.569 ; 139.890 ; 146.531 ; 95.836 ; 107.889 ; 166.799 ; 92.550 ; 82.735 ; 84.962 ; 71.296 ; 92.959 ; 90.420 ; 77.592 ; 71.694 
Piauí; 9.895 ; 9.905 ; 10.080 ; 10.002 ; 9.936 ; 13.365 ; 13.528 ; 13.155 ; 13.159 ; 12.771 ; 12.771 ; 13.062 ; 12.776 ; 18.518 ; 18.682 ; 16.836 ; 16.811 ; 13.455 ; 13.709 ; 16.693 ; 15.110 ; 19.400 ; 19.967 ; 25.756 ; 23.596 ; 17.538 ; 16.020 
Ceará; 7.241 ; 7.479 ; 7.587 ; 7.709 ; 7.789 ; 9.769 ; 10.254 ; 10.549 ; 10.711 ; 10.687 ; 10.678 ; 10.816 ; 10.850 ; 15.288 ; 15.518 ; 16.712 ; 16.708 ; 16.219 ; 16.662 ; 12.837 ; 11.747 ; 11.932 ; 13.106 ; 14.676 ; 14.818 ; 14.325 ; 15.322 
